Sticker,Image,License,license_page,copyright_year,copyright_name,copyright_user_link
Abyssinian,Abyssinian.jpg,"Creative Commons Attribution-Share Alike 2.5 Generic, 2.0 Generic and 1.0 Generic license.",https://commons.wikimedia.org/wiki/File:Gustav_chocolate.jpg,Aug-05,Karin Langner-Bahmann,https://commons.wikimedia.org/wiki/User:Martin_Bahmann
American Shorthair,American-Shorthair.jpg,Creative Commons Attribution-Share Alike 2.0 Generic license.,https://commons.wikimedia.org/wiki/File:American_Shorthair.jpg,25-Jan-06,Dustin Warrington,https://commons.wikimedia.org/wiki/User:Lupo
Asian Cat,Asian-Cat.jpg,Creative Commons Attribution-Share Alike 3.0 Unported license.,https://commons.wikimedia.org/wiki/File:BrownVarientAsianCat.JPG,18-May-07,Scotia,https://commons.wikimedia.org/w/index.php?title=User:Scotia&action=edit&redlink=1
Asian Semi-longhair,Asian-Semi-longhair.jpg,Creative Commons Attribution 3.0 Unported License,https://commons.wikimedia.org/wiki/File:Tiffanie_at_cat_show.jpg,22-Nov-08,Heikki Siltala,http://www.heikkisiltala.com/galleries/20081122turku/0234.html
Australian Mist,Australian-Mist.jpg,Creative Commons Attribution-Share Alike 3.0 Unported license.,https://commons.wikimedia.org/wiki/File:Australian_Mist.jpg,29-Jun-05,Regis2007,https://en.wikipedia.org/wiki/User:Regis2007
Birman,Birman.jpg,Creative Commons Attribution-Share Alike 3.0 Unported license.,https://commons.wikimedia.org/wiki/File:Birman2.jpg,3-Jun-07,Berk,https://en.wikipedia.org/wiki/User:Berk
Bobtail,Bobtail.jpg,Creative Commons Attribution 2.0 Generic,https://commons.wikimedia.org/wiki/File:American_bobtail_2.jpg,2008,torbakhopper,https://www.flickr.com/photos/gazeronly/7164563744/
British Longhair,British-Longhair.jpg,Creative Commons Attribution-Share Alike 4.0 International license,https://commons.wikimedia.org/wiki/File:British_Longhair_-_Blue_Bicolor.jpg,25-Sep-15,Felinology,https://commons.wikimedia.org/w/index.php?title=User:Felinology&action=edit&redlink=1
Burmese,Burmese-Cat.jpg,Creative Commons CC0 1.0 Universal Public Domain Dedication.,https://commons.wikimedia.org/wiki/File:Male_Chocolate_Burmese_Cat.jpg,8-Aug-18,Psypherium,https://commons.wikimedia.org/wiki/User:Psypherium
Burmilla,Burmilla.jpg,Creative Commons Attribution-Share Alike 3.0 Unported license.,https://commons.wikimedia.org/wiki/File:Male_Burmilla_cat.jpeg,15-Dec-05,David Johnson,https://commons.wikimedia.org/wiki/User:David_Johnson
California Spangled,California-Spangled.jpg,public domain,https://commons.wikimedia.org/wiki/File:Star_Spangled_Cat.jpg,28-Dec-05,Flamingice007sg,https://en.wikipedia.org/wiki/User:Flamingice007sg
Devon Rex,Devon-Rex.jpg,Creative Commons Attribution 4.0 International,https://commons.wikimedia.org/wiki/File:Devon_Rex_Cassini.jpeg,17-Jan-13,Anna Belial,https://commons.wikimedia.org/wiki/User:Alorin
Egyptian Mau,Egyptian-Mau.jpg,Creative Commons Attribution 2.0 Generic license.,https://commons.wikimedia.org/wiki/File:Egyptian_Mau_Bronze.jpg,9-Aug-08,liz west,https://www.flickr.com/people/53133240@N00
German Rex,German-Rex.jpg, Creative Commons Attribution-Share Alike 3.0 Unported license,https://commons.wikimedia.org/wiki/File:German_rex_harry_(cropped).jpg,11/6/07,M.Gerve,https://commons.wikimedia.org/wiki/File:German_rex_harry_(cropped).jpg
Havana Brown,Havana-Brown.jpg, Creative Commons Attribution 3.0 Unported license,https://commons.wikimedia.org/wiki/File:Havana_Brown.jpg,6-Jan-15,Desaix83,http://catza.net/en/view/breed/HAV/190085/
Japanese Bobtail,Japanese-Bobtail.jpg,Creative Commons Attribution 3.0 Unported license,https://commons.wikimedia.org/wiki/File:Odd-eyed_mi-ke-coated_Japanese_Bobtail_-_URK_cat_show_Vantaa_2006-10-08.JPG,8-Oct-06,Heikki Siltala,https://commons.wikimedia.org/wiki/File:Odd-eyed_mi-ke-coated_Japanese_Bobtail_-_URK_cat_show_Vantaa_2006-10-08.JPG
Korean Bobtail,Korean-Bobtail.jpg, Creative Commons Attribution-Share Alike 3.0 Unported license.,"https://commons.wikimedia.org/wiki/File:Mekong_bobtail_lynx_point,_Cofein_Pride.jpg",6-Mar-12,Alex Opryatin,"https://commons.wikimedia.org/wiki/File:Mekong_bobtail_lynx_point,_Cofein_Pride.jpg"
LaPerm,LaPerm.jpg, Creative Commons Attribution-Share Alike 3.0 Unported,https://commons.wikimedia.org/wiki/File:Laperm_LH_blacktortie_white.jpg,24-Aug-08,Bebopscrx,https://commons.wikimedia.org/wiki/File:Laperm_LH_blacktortie_white.jpg
Manx,Manx.jpg,Creative Commons Attribution 2.5,https://en.wikipedia.org/wiki/File:Manx_cat_by_Karen_Weaver.jpg,2006,Karen Slemmer,https://en.wikipedia.org/wiki/User:Karello
Norwegian Forest Cat,Norwegian-Forest-Cat.jpg,Public Domain,https://en.wikipedia.org/wiki/File:Norwegian_Forest_Cat_in_snow_(closeup)_(cropped).jpg,2009,Alexis Jazz,https://en.wikipedia.org/wiki/User:Alexis_Jazz
Ojos Azules,Ojos-Azules.jpg, Creative Commons Attribution-Share Alike 4.0 International license,https://commons.wikimedia.org/wiki/File:Ojos_Azules_cat.jpg,10-May-20,Kipcurry,https://commons.wikimedia.org/wiki/File:Ojos_Azules_cat.jpg
Persian,Persian.jpg, Creative Commons Attribution-Share Alike 3.0 ,https://commons.wikimedia.org/wiki/File:SnowyandHazy.jpg,13-Jan-11,UnionMaminia,https://commons.wikimedia.org/wiki/File:SnowyandHazy.jpg
Ragdoll,Ragdoll.jpg,Creative Commons CC0 1.0 Universal Public Domain Dedication,https://commons.wikimedia.org/wiki/File:Cross_eyed_Ragdoll_cat.jpg,2021,Anne Lowe,https://www.publicdomainpictures.net/en/view-image.php?image=33726&picture=cross-eyed-cat
Siamese,Siamese.jpg,No known copyright restrictions,https://commons.wikimedia.org/wiki/File:Pets_and_how_to_care_for_them_(1921)_(14802344753).jpg,1921,Internet Archive Book Images,https://www.flickr.com/photos/internetarchivebookimages/14802344753/
Tuxedo,Tuxedo.jpg,Creative Commons Attribution-Share Alike 3.0 Unported,"https://commons.wikimedia.org/wiki/File:George,_a_perfect_example_of_a_tuxedo_cat.jpg",2014,Adkisaac,"https://commons.wikimedia.org/wiki/File:George,_a_perfect_example_of_a_tuxedo_cat.jpg"
Ukrainian Levkoy,Ukrainian-Levkoy.jpg, Creative Commons Attribution-Share Alike 3.0 Unported,https://commons.wikimedia.org/wiki/File:Ukrainian_Levkoy_cat.jpg,23-May-06,Alena Ivanchuk,https://commons.wikimedia.org/wiki/File:Ukrainian_Levkoy_cat.jpg
York Chocolate,York-Chocolate.jpg, public domain,https://commons.wikimedia.org/wiki/File:York_Chocolate.jpg,28-Jan-07,Nickstein00,https://commons.wikimedia.org/wiki/File:York_Chocolate.jpg